user_id,case_id,timestamp
1052,449,2016-04-18T15:08:39
1094,450,2016-04-17T15:58:25
1095,451,2016-04-17T15:40:10
1097,452,2016-04-17T15:17:46
1037,454,2016-05-28T22:31:52
1037,456,2016-04-17T15:15:12
1101,460,2016-04-16T15:57:39
1102,461,2016-05-28T22:30:04
1103,462,2016-05-13T17:41:47
1105,463,2016-04-15T15:51:54
1106,464,2016-04-15T15:27:05
1107,465,2016-04-14T16:18:12
1108,466,2016-05-28T22:28:43
1115,467,2016-05-28T22:27:31
1080,468,2016-05-27T21:46:39
317,469,2016-05-28T22:16:50
1119,470,2016-05-28T15:34:49
1120,471,2016-04-10T22:54:55
1121,473,2016-03-31T01:50:10
1122,475,2016-03-28T21:19:23
1127,481,2016-05-28T15:28:26
1128,482,2016-03-30T01:14:35
1130,483,2016-05-28T15:27:25
1131,485,2016-03-27T15:44:48
188,486,2016-05-28T15:26:14
1134,487,2016-03-28T01:26:48
1142,489,2016-03-26T22:54:25
1084,491,2016-05-28T15:23:59
1145,494,2016-03-25T15:53:54
1146,495,2016-05-25T22:18:44
1147,496,2016-05-25T16:28:31
1148,497,2016-05-26T19:18:11
1149,498,2016-03-25T15:31:09
1150,499,2016-05-27T21:48:32
1155,500,2016-05-27T22:11:22
1154,501,2016-05-18T16:53:31
1157,502,2016-05-27T22:12:52
1156,503,2016-05-27T22:13:14
1164,504,2016-03-20T15:07:03
1166,505,2016-03-20T15:26:33
1169,506,2016-05-27T22:09:06
1125,507,2016-05-27T22:08:45
1174,508,2016-05-27T22:08:26
188,509,2012-01-24T15:23:59
1177,511,2016-05-27T22:07:01
1173,515,2016-05-27T22:05:08
1189,519,2016-03-17T15:37:39
1209,524,2012-02-27T15:21:06
1209,531,2016-05-27T22:04:31
1234,534,2016-05-27T22:02:01
1239,542,2016-05-27T22:02:27
1209,546,2016-08-22T16:22:55
1200,549,2016-05-02T15:29:17
1361,597,2016-05-27T21:40:36
1200,550,2016-05-27T21:56:42
1200,557,2016-05-27T21:50:35
1200,558,2016-05-27T21:53:07
1200,570,2016-05-27T21:48:02
1200,587,2016-05-27T21:46:21
183,573,2013-02-06T23:16:43
132600,4378,2016-05-16T01:38:10
64702,4085,2016-05-25T16:07:13
1200,588,2016-03-20T15:26:26
1361,593,2016-03-12T16:58:26
1202,595,2016-05-25T16:23:08
1521,600,2016-05-27T21:40:09
1361,601,2016-03-11T16:39:54
1202,604,2016-03-11T04:27:19
1361,609,2016-03-10T16:45:39
1583,617,2015-05-20T22:05:17
1201,619,2016-05-27T21:38:08
1200,633,2016-03-09T16:17:41
1361,630,2016-03-10T04:39:45
1361,634,2016-03-09T16:43:04
1361,636,2016-03-09T04:46:12
1200,642,2016-03-08T16:45:10
1642,644,2016-05-27T18:25:19
1614,647,2016-02-29T17:05:26
317,652,2016-02-29T16:47:27
1749,655,2016-05-27T18:24:15
1601,767,2016-05-26T19:49:29
1768,768,2016-05-26T19:42:15
1708,769,2016-05-27T21:40:36
2161,1183,2013-11-03T04:58:05
2131,777,2013-07-23T22:27:06
1825,687,2016-02-28T17:10:16
1842,689,2016-05-27T18:23:04
1700,781,2016-05-24T23:34:44
1843,715,2016-05-27T04:42:10
1859,718,2016-03-04T20:31:18
1700,774,2016-06-05T20:41:27
1700,773,2016-05-26T19:41:06
1,728,2016-05-27T18:19:25
1838,731,2016-02-27T02:30:44
1918,732,2016-02-26T16:54:21
1832,738,2016-02-25T04:43:45
1895,735,2016-02-25T16:51:05
1933,739,2016-02-25T17:06:48
1931,741,2016-02-24T16:15:09
1971,742,2016-02-24T04:15:47
1831,743,2016-02-24T16:47:49
1922,744,2016-02-23T18:00:05
1951,746,2016-08-22T16:25:54
1978,750,2016-02-23T17:24:56
1708,787,2016-02-25T04:43:45
1964,753,2016-02-22T16:36:25
1830,754,2016-02-22T16:59:18
1,755,2016-05-27T17:59:46
1919,758,2016-02-22T16:09:23
2794,1199,2013-11-13T21:31:13
2794,1194,2013-11-13T22:17:41
1700,792,2016-05-23T22:39:10
1708,796,2016-03-08T16:45:10
2254,797,2016-02-21T16:09:08
2227,801,2016-02-21T16:33:47
2794,1200,2013-11-13T21:53:44
1700,967,2016-05-25T22:59:06
1679,808,2016-05-15T15:56:16
2161,1134,2013-11-25T15:48:17
2745,1110,2013-11-25T06:47:05
2161,1112,2013-11-25T06:50:10
1708,825,2016-05-23T15:55:47
2161,1141,2013-11-25T06:40:44
2529,1184,2013-11-13T22:58:25
4711,1185,2015-03-30T21:22:09
2529,1186,2013-11-13T21:56:46
2161,1155,2013-11-25T02:05:23
2558,973,2016-05-26T19:03:27
2560,974,2016-02-18T16:51:31
2161,1079,2013-11-04T19:21:47
1770,1147,2013-07-06T18:27:05
2161,1159,2016-08-22T16:12:28
2161,1181,2013-11-25T03:00:40
2158,849,2015-06-29T23:08:12
2156,850,2016-02-21T02:40:23
1679,929,2016-06-02T21:53:01
1708,852,2016-04-26T15:47:56
2558,970,2016-05-25T23:00:09
2558,971,2016-02-18T16:13:11
2558,972,2016-05-26T19:03:50
2703,1385,2013-10-07T15:31:40
2161,1148,2013-11-25T01:59:15
2161,1150,2016-05-27T21:15:49
2789,1153,2013-09-28T02:51:42
1698,871,2016-05-26T19:16:51
1698,872,2016-05-29T15:52:15
1698,873,2016-08-02T18:47:55
1698,874,2016-05-26T19:35:12
2161,1247,2013-08-10T04:37:38
2161,1105,2016-08-22T16:16:39
0,1251,2015-08-28T19:16:52
1601,1250,2016-05-21T22:25:31
2161,1107,2013-11-25T02:43:29
1700,979,2016-05-25T22:59:06
1708,980,2016-05-31T20:00:20
2161,1077,2016-05-25T22:57:42
2580,988,2016-05-06T15:08:37
1601,935,2016-05-22T22:09:42
2161,1161,2013-11-25T02:55:03
2794,1198,2013-11-13T22:56:13
2161,1163,2013-11-02T00:43:05
2161,1165,2013-11-25T15:39:48
1708,1244,2016-05-22T15:59:44
2794,1197,2013-11-13T12:36:39
2323,982,2016-02-17T02:34:23
2508,946,2016-05-26T19:08:20
2161,1109,2016-08-22T16:20:18
2508,954,2016-05-26T19:06:17
2719,1089,2013-11-25T02:45:51
2161,1087,2013-11-25T02:31:34
2511,953,2016-05-26T19:05:13
2529,1187,2013-12-09T10:31:29
2529,1188,2013-11-13T22:54:46
2161,1094,2013-11-25T02:56:27
2161,1083,2013-11-04T19:30:52
2161,1085,2013-11-02T00:48:05
38,964,2016-02-19T16:30:58
2463,1045,2016-02-16T16:44:59
2529,1196,2013-11-13T21:51:26
2529,1190,2013-11-13T12:49:15
2529,1191,2013-11-13T13:05:49
2161,1143,2013-11-25T06:53:38
2161,1130,2013-11-25T15:41:36
1708,1122,2016-05-27T21:33:37
1601,1255,2016-04-20T15:34:42
84,1120,2016-08-22T16:27:40
2161,1128,2013-11-02T00:33:50
2750,1115,2016-08-22T16:24:13
2161,1170,2016-08-22T16:19:03
2161,1172,2013-11-25T06:38:40
2161,1174,2013-11-25T15:41:00
2529,1209,2013-11-13T22:20:06
2529,1208,2013-11-13T13:07:55
2529,1210,2013-11-13T22:50:17
2529,1211,2013-11-13T22:01:17
2529,1212,2013-11-13T23:00:36
2529,1213,2013-12-10T18:07:41
2529,1214,2013-11-07T18:26:49
2529,1215,2013-11-13T22:46:08
2529,1216,2013-11-13T12:57:06
2529,1217,2013-11-13T21:44:44
2529,1218,2016-05-25T22:37:35
2529,1219,2015-05-30T22:16:36
2529,1220,2013-11-13T12:22:57
2529,1221,2013-11-13T21:17:52
2529,1222,2013-11-13T20:56:32
2529,1223,2016-05-25T22:35:52
2529,1224,2013-11-13T23:10:23
2529,1225,2013-11-13T12:28:49
2529,1226,2013-11-13T21:28:29
2529,1227,2013-11-13T21:10:46
2529,1228,2013-11-13T21:59:22
2529,1229,2013-11-13T20:53:44
2161,1233,2013-11-25T02:34:50
2161,1236,2014-01-05T22:40:51
2161,1240,2013-08-31T18:15:01
2161,1259,2016-08-22T16:14:16
2161,1261,2013-11-25T02:53:41
2161,1263,2016-03-30T00:58:39
2161,1265,2013-11-02T00:46:25
2161,1268,2013-11-02T00:37:45
2161,1270,2013-08-28T06:38:25
2529,1276,2015-03-30T21:25:58
8856,1712,2016-05-25T22:23:34
2497,1862,2016-02-15T16:21:03
9248,1863,2016-02-15T02:37:23
2580,1949,2016-04-21T15:25:39
2580,1950,2016-05-25T22:20:15
2794,1610,2016-05-25T22:26:42
2161,1351,2016-08-22T16:17:48
2161,1353,2013-11-03T23:16:17
2161,1354,2013-11-04T19:26:47
2703,1386,2016-05-02T15:33:16
2703,1413,2013-11-13T23:05:21
